sound	fr	fr_ipa	en	en_ipa	cognate
0.7389	extrêmement	ɛkstʁɛmmɑ̃	extremely	ɛkstɹˈiːmli	0
0.7375	alchimiste	alʃimist	alchemist	ˈælkɪmˌɪst	1
0.7375	preuve	pʁœv	proof	pɹˈuːf	0
0.7357	relatif	ʁəlatif	relative	ɹˈɛlətˌɪv	1
0.7333	hectolitre	ɛktɔlitʁ	hectolitre	hˈɛktəlˌiːtɐ	1
0.7333	textile	tɛkstil	textile	tˈɛksta‍ɪl	1
0.7312	atrocité	atʁɔsite	atrocity	ɐtɹˈɒsɪti	1
0.73	aristocrate	aʁistɔkʁat	aristocrat	ˈæɹɪstˌɒkɹæt	1
0.73	baraque	baʁak	barrack	bˈæɹək	0
0.73	carotte	kaʁɔt	carrot	kˈæɹət	0
0.73	colonne	kɔlɔn	column	kˈɒlʌm	0
0.73	cruel	kʁyɛl	cruel	kɹˈuːəl	1
0.73	mérite	meʁit	merit	mˈɛɹɪt	1
0.73	prospérité	pʁɔspeʁite	prosperity	pɹəspˈɛɹɪti	1
0.73	rapide	ʁapid	rapid	ɹˈæpɪd	1
0.73	résine	ʁezin	resin	ɹˈɛzɪn	1
0.73	shérif	ʃeʁif	sheriff	ʃˈɛɹɪf	1
0.73	tarif	taʁif	tariff	tˈæɹɪf	1
0.7286	abortif	abɔʁtif	abortive	ɐbˈɔːtɪv	1
0.725	abducteur	abdyktœʁ	abductor	ɐbdˈʌktɐ	1
0.725	agnostique	agnɔstik	agnostic	æɡnˈɒstɪk	0
0.725	altitude	altityd	altitude	ˈæltɪtjˌuːd	1
0.725	azimut	azimyt	azimuth	ˈæzɪmˌʌθ	1
0.725	basilique	bazilik	basilica	bæzˈɪlɪkɐ	0
0.725	belladone	beladɔn	belladonna	bˈɛlɐdˌɒnɐ	1
0.725	capital	kapital	capital	kˈæpɪtə‍l	1
0.725	capitole	kapitɔl	capitol	kˈæpɪtə‍l	1
0.725	catastrophe	katastʁɔf	catastrophe	kɐtˈæstɹəfi	1
0.725	faculté	fakylte	faculty	fˈækə‍ltˌi	1
0.725	kilomètre	kilɔmɛtʁ	kilometre	kˈɪləmˌiːtɐ	1
0.725	millimètre	milimɛtʁ	millimetre	mˈɪlɪmˌiːtɐ	1
0.725	mécanique	mekanik	mechanics	mɪkˈænɪks	0
0.725	politique	pɔlitik	politics	pˈɒlətˌɪks	0
0.725	successeur	syksesœʁ	successor	səksˈɛsɐ	1
0.725	terminus	tɛʁminys	terminus	tˈɜːmɪnəs	1
0.725	théocratie	teɔkʁasi	theocracy	θɪˈɒkɹəsi	0
0.7214	kremlin	kʁɛmlɛ̃	kremlin	kɹˈɛmlɪn	1
0.72	accès	aksɛ	access	ˈæksɛs	1
0.72	amibe	amib	amoeba	ɐmˈiːbɐ	0
0.72	antique	ɑ̃tik	antique	æntˈiːk	1
0.72	bluffer	blœfe	bluff	blˈʌf	1
0.72	claquer	klake	click	klˈɪk	0
0.72	coupon	kupɔ̃	coupon	kˈuːpɒn	1
0.72	filtre	filtʁ	filter	fˈɪltɐ	1
0.72	fixe	fiks	fixed	fˈɪkst	1
0.72	fixer	fikse	fix	fˈɪks	0
0.72	gazette	gazɛt	gazette	ɡəzˈɛt	1
0.72	lynx	lɛ̃ks	lynx	lˈɪŋks	1
0.72	mosquée	mɔske	mosque	mˈɒsk	1
0.72	orbite	ɔʁbit	orbit	ˈɔːbɪt	1
0.72	parti	paʁti	party	pˈɑːti	1
0.72	plaider	plɛde	plead	plˈiːd	0
0.72	plante	plɑ̃t	plant	plˈænt	1
0.72	sperme	spɛʁm	sperm	spˈɜːm	1
0.72	stand	stɑ̃d	stand	stˈænd	1
0.72	turquie	tyʁki	turkey	tˈɜːki	0
0.72	unique	ynik	unique	juːnˈiːk	1
0.7188	orthodoxe	ɔʁtɔdɔks	orthodox	ˈɔːθədˌɒks	1
0.7167	alchimie	alʃimi	alchemy	ˈælkəmi	0
0.7167	chimiste	ʃimist	chemist	kˈɛmɪst	1
0.7167	mythe	mit	myth	mˈɪθ	1
0.7167	suc	syk	sap	sˈæp	0
0.7167	thème	tɛm	theme	θˈiːm	1
0.7125	abolitionniste	abɔlisjɔnist	abolitionist	ˌæbəlˈɪʃənˌɪst	1
0.7111	adolescence	adɔlesɑ̃s	adolescence	ˌædəlˈɛsəns	1
0.7111	adolescente	adɔlesɑ̃t	adolescent	ˌædəlˈɛsənt	1
0.7111	cupidité	kypidite	cupidity	kjuːpˈɪdɪti	1
0.71	objectif	ɔbʒɛktif	objective	ɒbd‍ʒˈɛktɪv	1
0.7091	exactitude	ɛgzaktityd	exactitude	ɛɡzˈæktɪtjˌuːd	1
0.7083	avarice	avaʁis	avarice	ˈævəɹɪs	1
0.7083	choléra	kɔleʁa	cholera	kˈɒləɹɐ	1
0.7083	orifice	ɔʁifis	orifice	ˈɒɹɪfɪs	1
0.7083	érotique	eʁɔtik	erotic	ɪɹˈɒtɪk	0
0.7063	cristal	kʁistal	crystal	kɹˈɪstə‍l	1
0.7063	industrie	ɛ̃dystʁi	industry	ˈɪndʌstɹˌi	1
