src	tgt	src_lang	tgt_lang	tag	source_file
cede	cid	en	fr	homophone	en_fr_homophones.csv
seed	cid	en	fr	homophone	en_fr_homophones.csv
cep	cep	en	fr	homophone	en_fr_homophones.csv
cep	cèpe	en	fr	homophone	en_fr_homophones.csv
cep	cèpes	en	fr	homophone	en_fr_homophones.csv
cep	ceps	en	fr	homophone	en_fr_homophones.csv
sepp	cep	en	fr	homophone	en_fr_homophones.csv
sepp	cèpe	en	fr	homophone	en_fr_homophones.csv
sepp	cèpes	en	fr	homophone	en_fr_homophones.csv
sepp	ceps	en	fr	homophone	en_fr_homophones.csv
check	tchèque	en	fr	homophone	en_fr_homophones.csv
check	tchèques	en	fr	homophone	en_fr_homophones.csv
chek	tchèque	en	fr	homophone	en_fr_homophones.csv
chek	tchèques	en	fr	homophone	en_fr_homophones.csv
cheque	tchèque	en	fr	homophone	en_fr_homophones.csv
cheque	tchèques	en	fr	homophone	en_fr_homophones.csv
czech	tchèque	en	fr	homophone	en_fr_homophones.csv
czech	tchèques	en	fr	homophone	en_fr_homophones.csv
chef	chef	en	fr	homophone	en_fr_homophones.csv
chef	chefs	en	fr	homophone	en_fr_homophones.csv
scheff	chef	en	fr	homophone	en_fr_homophones.csv
scheff	chefs	en	fr	homophone	en_fr_homophones.csv
sheff	chef	en	fr	homophone	en_fr_homophones.csv
sheff	chefs	en	fr	homophone	en_fr_homophones.csv
chemise	chemisent	en	fr	homophone	en_fr_homophones.csv
chemise	chemises	en	fr	homophone	en_fr_homophones.csv
chic	chic	en	fr	homophone	en_fr_homophones.csv
chic	chics	en	fr	homophone	en_fr_homophones.csv
chic	chique	en	fr	homophone	en_fr_homophones.csv
chic	chiquent	en	fr	homophone	en_fr_homophones.csv
chic	chiques	en	fr	homophone	en_fr_homophones.csv
sheek	chic	en	fr	homophone	en_fr_homophones.csv
sheek	chics	en	fr	homophone	en_fr_homophones.csv
sheek	chique	en	fr	homophone	en_fr_homophones.csv
sheek	chiquent	en	fr	homophone	en_fr_homophones.csv
